iter	Passed	Remaining
418	2481	3440
419	2486	3433
420	2491	3426
421	2496	3419
422	2501	3411
423	2506	3404
424	2512	3398
425	2517	3391
426	2522	3385
427	2529	3379
428	2534	3372
429	2538	3365
430	2544	3359
431	2549	3352
432	2555	3345
433	2560	3339
434	2565	3332
435	2570	3325
436	2576	3319
437	2581	3312
438	2586	3305
439	2591	3298
440	2596	3291
441	2601	3283
442	2606	3277
443	2612	3271
444	2617	3264
445	2622	3257
446	2627	3250
447	2632	3243
448	2638	3237
449	2643	3231
450	2648	3224
451	2653	3217
452	2659	3211
453	2664	3204
454	2669	3197
455	2674	3190
456	2679	3183
457	2684	3177
458	2691	3172
459	2696	3165
460	2700	3157
461	2706	3151
462	2711	3144
463	2716	3137
464	2721	3131
465	2727	3126
466	2733	3119
467	2739	3114
468	2745	3108
469	2750	3101
470	2756	3095
471	2760	3088
472	2765	3081
473	2772	3076
474	2777	3069
475	2782	3062
476	2788	3057
477	2793	3050
478	2798	3044
479	2804	3038
480	2809	3031
481	2814	3024
482	2819	3018
483	2824	3011
484	2829	3004
485	2835	2998
486	2841	2992
487	2846	2986
488	2851	2979
489	2856	2973
490	2861	2966
491	2867	2960
492	2873	2954
493	2878	2947
494	2883	2941
495	2889	2935
496	2894	2929
497	2899	2922
498	2904	2916
499	2909	2909
500	2914	2903
501	2921	2898
502	2926	2891
503	2931	2885
504	2937	2879
505	2943	2873
506	2948	2866
507	2954	2861
508	2959	2854
509	2963	2847
510	2970	2842
511	2976	2836
512	2983	2831
513	2988	2826
514	2994	2819
515	3000	2814
516	3005	2807
517	3010	2801
518	3016	2795
519	3021	2788
520	3026	2782
521	3031	2776
522	3037	2770
523	3043	2764
524	3049	2759
525	3055	2753
526	3060	2746
527	3065	2740
528	3070	2733
529	3075	2727
530	3080	2720
531	3086	2714
532	3090	2708
533	3096	2701
534	3101	2695
535	3106	2689
536	3111	2682
537	3117	2676
538	3121	2670
539	3127	2663
540	3132	2657
541	3137	2651
542	3144	2646
543	3150	2641
544	3156	2634
545	3161	2628
546	3166	2622
547	3172	2616
548	3177	2610
549	3183	2604
550	3188	2597
551	3193	2591
552	3198	2585
553	3203	2579
554	3208	2572
555	3214	2567
556	3220	2561
557	3225	2554
558	3231	2549
559	3236	2542
560	3242	2537
561	3248	2531
562	3253	2525
563	3258	2518
564	3263	2512
565	3269	2507
566	3274	2500
567	3280	2495
568	3285	2488
569	3290	2482
570	3295	2476
571	3301	2470
572	3306	2463
573	3311	2457
574	3317	2451
575	3322	2445
576	3327	2439
577	3332	2433
578	3337	2426
579	3343	2421
580	3350	2416
581	3356	2410
582	3362	2405
583	3367	2398
584	3372	2392
585	3378	2386
586	3383	2380
587	3388	2374
588	3394	2368
589	3400	2362
590	3405	2356
591	3410	2350
592	3415	2344
593	3421	2338
594	3427	2332
595	3431	2326
596	3436	2319
597	3442	2314
598	3448	2308
599	3453	2302
600	3458	2296
601	3463	2289
602	3468	2283
603	3473	2277
604	3479	2271
605	3483	2265
606	3488	2258
607	3494	2252
608	3499	2246
609	3504	2240
610	3509	2234
611	3514	2228
612	3519	2221
613	3524	2215
614	3530	2209
615	3535	2203
616	3541	2198
617	3546	2192
618	3551	2186
619	3558	2180
620	3564	2175
621	3569	2169
622	3575	2163
623	3580	2157
624	3585	2151
625	3591	2145
626	3597	2139
627	3602	2133
628	3608	2128
629	3613	2122
630	3618	2115
631	3624	2110
632	3629	2104
633	3635	2098
634	3640	2092
635	3645	2086
636	3651	2080
637	3657	2075
638	3663	2069
639	3668	2063
640	3673	2057
641	3679	2051
642	3683	2045
643	3689	2039
644	3694	2033
645	3698	2026
646	3704	2021
647	3709	2015
648	3715	2009
649	3721	2003
650	3726	1997
651	3731	1991
652	3736	1985
653	3743	1980
654	3748	1974
655	3754	1968
656	3759	1962
657	3765	1957
658	3770	1951
659	3776	1945
660	3781	1939
661	3786	1933
662	3792	1927
663	3798	1922
664	3805	1917
665	3811	1911
666	3817	1905
667	3822	1899
668	3828	1894
669	3834	1888
670	3840	1883
671	3846	1877
672	3852	1871
673	3857	1865
674	3863	1860
675	3869	1854
676	3875	1848
677	3880	1843
678	3886	1837
679	3891	1831
680	3897	1825
681	3902	1819
682	3909	1814
683	3915	1808
684	3921	1803
685	3927	1797
686	3933	1792
687	3939	1786
688	3945	1780
689	3951	1775
690	3957	1769
691	3963	1763
692	3969	1758
693	3975	1752
694	3981	1747
695	3986	1741
696	3992	1735
697	3998	1730
698	4005	1724
699	4011	1719
700	4016	1713
701	4022	1707
702	4028	1702
703	4034	1696
704	4040	1690
705	4047	1685
706	4053	1679
707	4058	1673
708	4065	1668
709	4071	1663
710	4077	1657
711	4093	1655
712	4108	1653
713	4121	1650
714	4130	1646
715	4137	1641
716	4144	1635
717	4153	1631
718	4161	1626
719	4168	1620
720	4175	1615
721	4183	1610
722	4189	1605
723	4195	1599
724	4202	1594
725	4208	1588
726	4215	1582
727	4221	1577
728	4226	1571
729	4232	1565
730	4238	1559
731	4243	1553
732	4249	1548
733	4255	1542
734	4261	1536
735	4266	1530
736	4271	1524
737	4277	1518
738	4283	1512
739	4289	1506
740	4294	1501
741	4300	1495
742	4306	1489
743	4313	1484
744	4319	1478
745	4325	1472
746	4331	1466
747	4336	1460
748	4341	1454
749	4347	1449
750	4352	1443
751	4359	1437
752	4364	1431
753	4370	1425
754	4376	1420
755	4382	1414
756	4388	1408
757	4395	1403
758	4401	1397
759	4408	1392
760	4414	1386
761	4420	1380
762	4426	1374
763	4431	1368
764	4437	1363
765	4444	1357
766	4449	1351
767	4455	1345
768	4461	1340
769	4466	1334
770	4472	1328
771	4478	1322
772	4484	1316
773	4490	1311
774	4496	1305
775	4502	1299
776	4508	1294
777	4514	1288
778	4519	1282
779	4525	1276
780	4531	1270
781	4536	1264
782	4542	1258
783	4547	1252
784	4552	1246
785	4559	1241
786	4564	1235
787	4570	1229
788	4576	1223
789	4582	1218
790	4588	1212
791	4594	1206
792	4600	1200
793	4605	1194
794	4610	1188
795	4615	1182
796	4621	1177
797	4626	1171
798	4630	1164
799	4636	1159
800	4642	1153
801	4647	1147
802	4652	1141
803	4658	1135
804	4663	1129
805	4669	1123
806	4675	1118
807	4680	1112
808	4686	1106
809	4691	1100
810	4696	1094
811	4701	1088
812	4707	1082
813	4713	1076
814	4718	1071
815	4724	1065
816	4730	1059
817	4736	1053
818	4742	1047
819	4747	1042
820	4753	1036
821	4758	1030
822	4764	1024
823	4770	1018
824	4776	1013
825	4781	1007
826	4787	1001
827	4793	995
828	4800	990
829	4809	985
830	4816	979
831	4822	973
832	4829	968
833	4835	962
834	4840	956
835	4845	950
836	4852	944
837	4858	939
838	4864	933
839	4871	927
840	4877	922
841	4883	916
842	4892	911
843	4904	906
844	4913	901
845	4920	895
846	4926	889
847	4932	884
848	4938	878
849	4943	872
850	4949	866
851	4955	860
852	4960	854
853	4966	849
854	4971	843
855	4977	837
856	4983	831
857	4989	825
858	4996	820
859	5003	814
860	5008	808
861	5014	802
862	5020	797
863	5026	791
864	5033	785
865	5039	779
866	5045	773
867	5051	768
868	5056	762
869	5063	756
870	5068	750
871	5075	744
872	5081	739
873	5086	733
874	5091	727
875	5098	721
876	5104	715
877	5110	710
878	5117	704
879	5122	698
880	5129	692
881	5135	687
882	5141	681
883	5148	675
884	5153	669
885	5159	663
886	5165	658
887	5171	652
888	5177	646
889	5183	640
890	5189	634
891	5195	628
892	5201	623
893	5207	617
894	5213	611
895	5220	605
896	5226	600
897	5232	594
898	5237	588
899	5243	582
900	5249	576
901	5254	570
902	5259	565
903	5265	559
904	5270	553
905	5276	547
906	5281	541
907	5286	535
908	5291	529
909	5296	523
910	5301	517
911	5307	512
912	5312	506
913	5317	500
914	5323	494
915	5329	488
916	5334	482
917	5339	476
918	5345	471
919	5350	465
920	5355	459
921	5361	453
922	5366	447
923	5371	441
924	5378	436
925	5383	430
926	5388	424
927	5394	418
928	5400	412
929	5405	406
930	5411	401
931	5416	395
932	5421	389
933	5427	383
934	5433	377
935	5439	371
936	5444	366
937	5450	360
938	5456	354
939	5462	348
940	5466	342
941	5472	336
942	5478	331
943	5484	325
944	5490	319
945	5496	313
946	5501	307
947	5508	302
948	5513	296
949	5520	290
950	5527	284
951	5533	278
952	5539	273
953	5545	267
954	5550	261
955	5556	255
956	5562	249
957	5567	244
958	5574	238
959	5580	232
960	5585	226
961	5591	220
962	5596	215
963	5602	209
964	5608	203
965	5613	197
966	5620	191
967	5626	185
968	5631	180
969	5638	174
970	5643	168
971	5649	162
972	5656	156
973	5662	151
974	5669	145
975	5675	139
976	5680	133
977	5688	127
978	5693	122
979	5700	116
980	5705	110
981	5711	104
982	5717	98
983	5723	93
984	5729	87
985	5736	81
986	5741	75
987	5747	69
988	5753	63
989	5759	58
990	5766	52
991	5771	46
992	5776	40
993	5783	34
994	5788	29
995	5794	23
996	5800	17
997	5806	11
998	5811	5
999	5818	0
